Title,Genre,Rating
Angry Bird,"Adventure, Comedy",
Avatar,"Adventure, Sci-fi",
Deadpool,"Action, Comedy",
Abominable,Adventure,
Jhon Wick,Action,
Doremon,"Animation, Adventure, Comedy",
Batman,Action,
Beauty and The Beast,"Fantasy, Romance",
Terminator,Action,
Demon Slayer,"Action, Fantasy, HIstorical",
